%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1777733648296454906,0.0,0.0,0.0,0.0,0.0,0.0
1777733649833313941,-0.0,0.0,0.0,0.0,0.0,-0.0
1777733649878432035,-0.0,0.0,0.0,0.0,0.0,-0.0
1777733649881982088,-0.0,0.0,0.0,0.0,0.0,-0.0
1777733649885936975,-0.0,0.0,0.0,0.0,0.0,-0.0
1777733649889806032,-0.0,0.0,0.0,0.0,0.0,-0.0
1777733649893887996,0.00476495660841,0.0,0.0,0.0,0.0,-0.0
1777733649897833108,0.0117909960449,0.0,0.0,0.0,0.0,-0.0
1777733649901876926,0.0223300546408,0.0,0.0,0.0,0.0,-0.0
1777733649905829906,0.0363821327686,0.0,0.0,0.0,0.0,-0.0
1777733649910049915,0.0504342079163,0.0,0.0,0.0,0.0,-0.0
1777733649922064065,0.0679993093014,0.0,0.0,0.0,0.0,-0.0
1777733649925911903,0.0890774250031,0.0,0.0,0.0,0.0,-0.0
1777733649930035114,0.0925904452801,0.0,0.0,0.0,0.0,-0.0
1777733649938035964,0.103129506111,0.0,0.0,0.0,0.0,-0.0
1777733649942181110,0.120708167553,0.0,0.0,0.0,0.0,-0.0
1777733649950083971,0.12422118187,0.0,0.0,0.0,0.0,-0.0
1777733649954140901,0.134760248661,0.0,0.0,0.0,0.0,-0.0
1777733649958324909,0.138273262978,0.0,0.0,0.0,0.0,-0.0
1777733649966085910,0.148812317848,0.0,0.0,0.0,0.0,-0.0
1777733649969872951,0.155838358402,0.0,0.0,0.0,0.0,-0.0
1777733649978262901,0.15935138464,0.0,0.0,0.0,0.0,-0.0
1777733649981890916,0.180429494381,0.0,0.0,0.0,0.0,-0.0
1777733649994344949,0.190968561172,0.0,0.0,0.0,0.0,-0.0
1777733649998122930,0.205020642281,0.0,0.0,0.0,0.0,-0.0
1777733650006302118,0.212046670914,0.0,0.0,0.0,0.0,-0.0
1777733650056519985,0.212046670914,0.0,0.0,0.0,0.0,-0.0
1777733650106929063,0.212046670914,0.0,0.0,0.0,0.0,-0.0
1777733650157121896,0.212046670914,0.0,0.0,0.0,0.0,-0.0
1777733650207310914,0.212046670914,0.0,0.0,0.0,0.0,-0.0
1777733650257559061,0.212046670914,0.0,0.0,0.0,0.0,-0.0
1777733650307568073,0.212046670914,0.0,0.0,0.0,0.0,-0.0
1777733650357695102,0.212046670914,0.0,0.0,0.0,0.0,-0.0
1777733650407856941,0.212046670914,0.0,0.0,0.0,0.0,-0.0
1777733650458067893,0.212046670914,0.0,0.0,0.0,0.0,-0.0
1777733650507874965,0.212046670914,0.0,0.0,0.0,0.0,-0.0
1777733650558129072,0.212046670914,0.0,0.0,0.0,0.0,-0.0
1777733650608402013,0.212046670914,0.0,0.0,0.0,0.0,-0.0
1777733650658618927,0.212046670914,0.0,0.0,0.0,0.0,-0.0
1777733650708559036,0.212046670914,0.0,0.0,0.0,0.0,-0.0
1777733650758682012,0.212046670914,0.0,0.0,0.0,0.0,-0.0
1777733650808928966,0.212046670914,0.0,0.0,0.0,0.0,-0.0
1777733650859302043,0.212046670914,0.0,0.0,0.0,0.0,-0.0
1777733650909069061,0.212046670914,0.0,0.0,0.0,0.0,-0.0
1777733650914113998,0.215559697151,0.0,0.0,0.0,0.0,-0.0
1777733650964344978,0.215559697151,0.0,0.0,0.0,0.0,-0.0
1777733651014692068,0.215559697151,0.0,0.0,0.0,0.0,-0.0
1777733651064892053,0.215559697151,0.0,0.0,0.0,0.0,-0.0
1777733651114943027,0.215559697151,0.0,0.0,0.0,0.0,-0.0
1777733651164866924,0.215559697151,0.0,0.0,0.0,0.0,-0.0
1777733651215179920,0.215559697151,0.0,0.0,0.0,0.0,-0.0
1777733651265149116,0.215559697151,0.0,0.0,0.0,0.0,-0.0
1777733651290262937,0.222585725784,0.0,0.0,0.0,0.0,-0.0
1777733651340677022,0.222585725784,0.0,0.0,0.0,0.0,-0.0
1777733651390345096,0.222585725784,0.0,0.0,0.0,0.0,-0.0
1777733651398360013,0.226098752022,0.0,0.0,0.0,0.0,-0.0
1777733651448446989,0.226098752022,0.0,0.0,0.0,0.0,-0.0
