%time,field.x,field.y,field.z
158390000000,0.0004856374981,-4.53738614739e-10,-7.17048733605e-07
159906000000,0.000490048750888,-4.56897947025e-10,-7.15348101333e-07
160123000000,0.000490687522767,-4.57354812623e-10,-7.15101836544e-07
160368000000,0.0429191380414,-5.66888757594e-08,-4.9012678303e-07
160575000000,0.0895780282589,-7.21752527576e-08,-1.67515227415e-07
160825000000,0.140484980084,-7.00322501385e-08,2.77648708976e-07
161074000000,0.191384698789,-3.91794144054e-08,1.01037722913e-06
161324000000,0.247386475143,5.18281681307e-08,2.21776825693e-06
161549000000,0.294805082118,1.54375785391e-07,1.98057172671e-06
161788000000,0.352811202984,-2.09790715773e-09,-5.30174692619e-06
162007000000,0.42065320333,-5.60744445289e-07,-8.85895059348e-06
162248000000,0.500056961938,-1.31814070213e-06,-9.36926452972e-06
162497000000,0.586251831058,-2.10571298633e-06,-8.89553121957e-06
162703000000,0.652563961462,-2.68016776902e-06,-8.38891080684e-06
162951000000,0.734606838044,-3.32543087384e-06,-7.04657333558e-06
163154000000,0.803018825318,-3.7733724675e-06,-6.64551643738e-06
163387000000,0.885090525697,-4.32937051669e-06,-6.13510335757e-06
163635000000,0.974884317803,-4.83341712653e-06,-5.20902124155e-06
163882000000,1.05781533816,-5.24272352303e-06,-4.67299501905e-06
164120000000,1.14075733894,-5.60783102782e-06,-4.11008889919e-06
164366000000,1.22370928056,-5.91541134941e-06,-3.18732682885e-06
164603000000,1.30665452477,-6.11993258772e-06,-2.07671089596e-06
164805000000,1.37575246656,-6.26644989631e-06,-1.48723882865e-06
165051000000,1.45866872862,-6.31289274021e-06,-5.75739409426e-09
165297000000,1.5485061274,-6.28567372141e-06,5.67174477749e-07
165550000000,1.63144436616,-6.2200360456e-06,1.02900942541e-06
165791000000,1.71438136532,-6.10806141404e-06,1.75922666151e-06
166030000000,1.79895003841,-5.89819577536e-06,3.36813219605e-06
166281000000,1.89060984323,-5.61371518789e-06,2.95884546338e-06
166532000000,1.97521211309,-5.29699856129e-06,4.28219028489e-06
166783000000,2.06686414229,-4.87326099541e-06,4.92935144368e-06
167029000000,2.15148874979,-4.43353180396e-06,5.47241561262e-06
167282000000,2.24317765526,-3.89729362602e-06,6.31771945377e-06
167525000000,2.3278134778,-3.30167559507e-06,7.69351036905e-06
167779000000,2.41947015683,-2.5975766499e-06,8.43858795149e-06
168027000000,2.50407338665,-1.81343548599e-06,9.7707906521e-06
