%time,field.x,field.y,field.z
159810000000,-0.0134651407606,-0.000236955701843,3.14141862401
161280000000,-0.0136277274285,-0.000237264921151,3.1414184112
161500000000,-0.0136521392943,-0.000237311258182,3.14141837972
161750000000,-0.0608770758237,-0.000107189409145,3.14126113413
162000000000,-0.118484577084,0.000268482900464,3.13980289413
162250000000,-0.178521508659,0.000511169286828,3.1396529494
162460000000,-0.232853671406,0.000680594234484,3.1398056177
162710000000,-0.304800999982,0.000768803667339,3.14056262931
162940000000,-0.35616256825,0.000987602775592,-3.14100677701
163180000000,-0.401423654456,0.000892279148974,-3.14009058094
163400000000,-0.463593463295,0.00104661647659,-3.13984318264
163650000000,-0.54469028639,0.00113835334797,-3.13957179858
163900000000,-0.628000383485,0.00122200715533,-3.1400511921
164110000000,-0.698002301614,0.000978651790501,-3.14009636221
164360000000,-0.794029605678,0.000552928636278,-3.14109126316
164620000000,-0.887554553802,0.000433123606601,-3.13804787645
164850000000,-0.958201457838,-0.00077235860876,-3.13737180058
165100000000,-1.04348512744,-0.00163929457923,-3.13600422039
165350000000,-1.12994098869,-0.00219279314472,-3.13580558517
165600000000,-1.2176943887,-0.00300713951566,-3.13492703559
165850000000,-1.31459361643,-0.00316210235368,-3.13549448925
166100000000,-1.40410247876,-0.00375456918122,-3.13211598258
166350000000,-1.48015273413,-0.00459898981929,-3.13202447064
166600000000,-1.56324651174,-0.00500298585452,-3.1314284012
166860000000,-1.64989035334,-0.00584716170063,-3.13127973251
167100000000,-1.73672710929,-0.00671546224144,-3.13090448982
167340000000,-1.82838198206,-0.00790347059572,-3.13041665438
167600000000,-1.92465722096,-0.00862175983458,-3.12747097094
167800000000,-1.98676583556,-0.009461407164,-3.12704897687
168050000000,-2.07157451228,-0.0102654936065,-3.12690010259
168250000000,-2.14191359044,-0.0111923079151,-3.12676879192
168500000000,-2.23406668598,-0.012063683582,-3.1273640918
168750000000,-2.33166304349,-0.0136548768324,-3.12584432418
168950000000,-2.41202270924,-0.0146400944251,-3.1242314733
169200000000,-2.49099283043,-0.0151462391834,-3.12157165149
169400000000,-2.55747399674,-0.0161181697787,-3.12176891121
169650000000,-2.64406083102,-0.0175171096873,-3.12122629991
169900000000,-2.7337576766,-0.0186187191406,-3.1229225479
170150000000,-2.83135023041,-0.0199929412635,-3.12374354584
170410000000,-2.93292515891,-0.0219033439814,-3.12244437908
170660000000,-3.01695528018,-0.0237677051486,-3.1203200253
170890000000,-3.09254348426,-0.0257402756237,-3.12063131279
171140000000,-3.18006731313,-0.0276746757159,-3.12016493333
171390000000,-3.26842157466,-0.0295605057499,-3.12003754047
171630000000,-3.35839695165,-0.0317586880905,-3.12046206672
171860000000,-3.45439036559,-0.0342731796928,-3.11978094163
172070000000,-3.52290746532,-0.0363157462251,-3.11542344592
172300000000,-3.54496237702,-0.0110446358702,-2.96895505707
172530000000,-3.62905088624,-0.06215757096,-2.82382250714
172770000000,-3.72503972471,-0.115094365819,-2.67780252296
173020000000,-3.76387745545,-0.0126726650368,-2.27806002356
173220000000,-3.82156787356,-0.0765756868159,-2.10621072623
173480000000,-3.87197276739,-0.207420623471,-2.01483375616
173730000000,-3.90886761905,-0.301211065517,-1.95408509406
173980000000,-3.96534580541,-0.440019976527,-1.95779527446
174200000000,-4.0006184653,-0.53193067196,-1.95611123998
174420000000,-4.03374305545,-0.613145133189,-1.95693993988
