%time,field.x,field.y,field.z
159810000000,0.0,0.0,3.14141864478
161280000000,0.0,0.0,3.14141843006
161500000000,-0.0424093335389,7.3900456575e-06,3.14141839842
161750000000,-0.0848186617501,2.98955277078e-05,3.14106198072
162000000000,-0.127227951666,9.11705257056e-05,3.14014780612
162250000000,-0.169637193988,0.000179439949376,3.13951128426
162460000000,-0.212749055277,0.000261523322658,3.13968869325
162710000000,-0.255860960152,0.000316108058691,3.14032653679
162940000000,-0.304593717332,0.000278265268798,-3.14081611673
163180000000,-0.367381198544,0.000177907504515,-3.13999428275
163400000000,-0.433681662136,5.46749887618e-05,-3.13973395808
163650000000,-0.499982116481,-7.34355198898e-05,-3.13966038404
163900000000,-0.566282616017,-0.000175513523493,-3.14005302834
164110000000,-0.634690933212,-0.000277929642252,-3.14009552508
164360000000,-0.703099323102,-0.000301236038515,-3.1412519586
164620000000,-0.771507277643,-0.000546401312966,-3.13800879808
164850000000,-0.840617365382,-0.000900394562326,-3.13647053372
165100000000,-0.909727301535,-0.00128283860326,-3.13605885978
165350000000,-0.978837142146,-0.00168217468616,-3.13581443684
165600000000,-1.04794670956,-0.00212628111097,-3.1351666213
165850000000,-1.11705686914,-0.00246595859134,-3.13667767803
166100000000,-1.18616442401,-0.00315545036017,-3.13161590222
166350000000,-1.25527225441,-0.0038167493692,-3.13202385622
166600000000,-1.32437982444,-0.00450471914016,-3.13163792583
166860000000,-1.39348717129,-0.00521475443444,-3.1313186329
167100000000,-1.46399933974,-0.00596923775016,-3.13089301776
167340000000,-1.53451134956,-0.00673840289454,-3.13068480058
167600000000,-1.6050209126,-0.00770621685594,-3.12786751977
167800000000,-1.67552972529,-0.00872723488295,-3.12711295054
168050000000,-1.74603807745,-0.00977957479421,-3.12666872258
168250000000,-1.81654650191,-0.0108270595733,-3.12673758151
168500000000,-1.88705547304,-0.0118370764303,-3.12726897583
168750000000,-1.95756404193,-0.0128747940174,-3.12687610655
168950000000,-2.02807038414,-0.0140541376655,-3.12486743935
169200000000,-2.0985719339,-0.0154917143043,-3.12120476915
169400000000,-2.16907411314,-0.0168980805339,-3.12164745827
169650000000,-2.23957568229,-0.0183347057599,-3.12121826406
169900000000,-2.31007886615,-0.0196897737614,-3.12237506501
170150000000,-2.380584686,-0.0208999437629,-3.12443022383
170410000000,-2.45108808079,-0.0222439926149,-3.1225313577
170660000000,-2.52158812041,-0.0237538132093,-3.12018004383
170890000000,-2.59208894746,-0.0252264060673,-3.12070809357
171140000000,-2.6625889703,-0.0267370096361,-3.12016893781
171390000000,-2.73379123104,-0.0282720329181,-3.1200373614
171630000000,-2.80499345017,-0.0298089847848,-3.12001027538
171860000000,-2.87619559338,-0.0313494499162,-3.11996093329
172070000000,-2.90735308331,-0.0321460547396,-3.11603118121
172300000000,-2.9117612323,-0.0328626271845,-2.98044588587
172530000000,-2.91467271169,-0.0338069806599,-2.82794406567
172770000000,-2.91553286672,-0.0342172559108,-2.69653147178
173020000000,-2.91615207889,-0.0349416651455,-2.27806020702
173220000000,-2.95693109764,-0.10336098061,-2.10828139543
173480000000,-2.99157658018,-0.175469860366,-2.0186906623
173730000000,-3.02169121464,-0.249585370157,-1.95673931617
173980000000,-3.05188150902,-0.323670092772,-1.95776036615
174200000000,-3.08194202674,-0.397807568278,-1.95600925686
174420000000,-3.1120665291,-0.471919067776,-1.95687246193
174650000000,-3.14242206737,-0.545936236704,-1.95999185444
174870000000,-3.17476847434,-0.619105287239,-1.98704258382
175100000000,-3.20936826937,-0.691236100236,-2.0180571681
175320000000,-3.2423982538,-0.76409912329,-1.99640453357
175550000000,-3.27470456498,-0.837285886152,-1.9864946617
175800000000,-3.30705740511,-0.910452092393,-1.98713050737
176060000000,-3.3394649853,-0.983594069027,-1.98787879178
176310000000,-3.3718651989,-1.05673930919,-1.98777807759
176560000000,-3.40395306115,-1.13002211138,-1.98351180641
176810000000,-3.43362800518,-1.20431476039,-1.95081391216
177010000000,-3.46124071531,-1.27939830212,-1.92320438647
177260000000,-3.48839227112,-1.35464983378,-1.91706938601
177510000000,-3.51606953981,-1.42970960195,-1.92406434563
177760000000,-3.54395640796,-1.50469175039,-1.92685822253
177970000000,-3.57105176473,-1.57996353555,-1.91632267064
178220000000,-3.59594368515,-1.65599242676,-1.88719813996
178470000000,-3.60754568215,-1.73514666648,-1.71633452849
178720000000,-3.62099899303,-1.81400735647,-1.73976559517
178970000000,-3.63397980005,-1.89294719844,-1.73377699113
179220000000,-3.64621826189,-1.97200553166,-1.72438017746
179440000000,-3.65787138465,-2.05115226077,-1.71698045955
179650000000,-3.6686549124,-2.13042215121,-1.70600198668
179880000000,-3.67839601673,-2.20982687957,-1.69286304331
180130000000,-3.68687699888,-2.28937606525,-1.67700818634
180380000000,-3.69347553261,-2.36910347178,-1.65337180945
180630000000,-3.69939931165,-2.44888385058,-1.64491139913
180880000000,-3.70440199584,-2.52872727956,-1.63337070672
181130000000,-3.70910302592,-2.60858903709,-1.62959307416
181380000000,-3.71308758461,-2.68848974605,-1.62062392646
181640000000,-3.71687260961,-2.7684001558,-1.61812680874
181880000000,-3.71905876266,-2.84837027981,-1.59812664215
182140000000,-3.72110058895,-2.92834421898,-1.59632192719
182390000000,-3.72103354195,-3.00834419088,-1.5699582393
182640000000,-3.72102254849,-3.08834419012,-1.57065890855
182880000000,-3.72077574159,-3.16834380941,-1.56771123559
183130000000,-3.72114198123,-3.24834297109,-1.57537433824
183380000000,-3.72179822684,-3.32834027943,-1.57899948894
183640000000,-3.72192739504,-3.40834017515,-1.57241092996
183890000000,-3.72203960396,-3.48834009646,-1.57219893882
184140000000,-3.722103537,-3.56834007091,-1.5715954899
184390000000,-3.72214563364,-3.64834005983,-1.57132253478
184640000000,-3.72227436435,-3.72833995626,-1.57240546139
184840000000,-3.72228915378,-3.80833995489,-1.5709811946
185080000000,-3.72132547086,-3.8883341504,-1.558749999
185320000000,-3.72129541701,-3.96833414476,-1.57042065367
185560000000,-3.72126806369,-4.04833414008,-1.57045441033
185760000000,-3.72125491333,-4.11955294418,-1.57061167949
185970000000,-3.72086237832,-4.15704199618,-1.56032605209
186190000000,-3.72028871599,-4.17484824276,-1.53859055155
186440000000,-3.71862958538,-4.18905415057,-1.45453145281
186650000000,-3.71353830637,-4.21766453999,-1.3946877201
186870000000,-3.69615080166,-4.29575214899,-1.35170392678
187070000000,-3.67764807115,-4.37358304879,-1.33739893122
187290000000,-3.66021608753,-4.45166074053,-1.35113428794
187540000000,-3.64329608696,-4.52985098021,-1.3576868955
187790000000,-3.62700480144,-4.60817462935,-1.36572083637
188040000000,-3.61217171423,-4.68678747515,-1.38430359309
188300000000,-3.6001911303,-4.76588529818,-1.4204735277
188550000000,-3.59104288651,-4.84536051215,-1.45619257601
188800000000,-3.58152519086,-4.92479232863,-1.45154267247
189050000000,-3.57474538655,-5.00450452502,-1.4859469988
189300000000,-3.56934857537,-5.08432228263,-1.50328491485
189540000000,-3.56579528441,-5.16424333194,-1.52636557281
189750000000,-3.56342165851,-5.24420811107,-1.54112164812
189960000000,-3.56325053784,-5.32420792805,-1.56865731676
190210000000,-3.56302547486,-5.40420761147,-1.56798303591
190460000000,-3.56316462126,-5.48420749046,-1.57253565759
190720000000,-3.56316661125,-5.56420749043,-1.57082120163
190960000000,-3.5631565531,-5.6442074898,-1.57067060003
191220000000,-3.56316807604,-5.72420748897,-1.57094036353
191470000000,-3.56274349702,-5.80420636229,-1.56548906405
191720000000,-3.56296138684,-5.88420606556,-1.57351995291
191970000000,-3.563022512,-5.96420604221,-1.57156039147
192210000000,-3.56295387781,-6.04420601277,-1.56993839931
192470000000,-3.56295151107,-6.12420601274,-1.5707667425
192720000000,-3.56293496817,-6.20420601103,-1.57058954049
192970000000,-3.56293081607,-6.28420601092,-1.57074442558
193180000000,-3.56292898809,-6.3642060109,-1.57077347702
193390000000,-3.56291887513,-6.43823523174,-1.57065971921
193640000000,-3.56252388489,-6.49540059612,-1.56388682906
193880000000,-3.55779716721,-6.55237158032,-1.48801880764
194120000000,-3.54692891363,-6.60849569248,-1.37951702912
194370000000,-3.53218063627,-6.66372723435,-1.3098581557
194580000000,-3.51173602164,-6.72309301237,-1.23913350226
194790000000,-3.48026088218,-6.79664106195,-1.16642676681
195040000000,-3.44813695783,-6.86990806328,-1.15758869921
195290000000,-3.41599866157,-6.94316876157,-1.15739253266
195510000000,-3.38711325777,-7.01777193474,-1.20138391234
195710000000,-3.35902655225,-7.09267945755,-1.21206797316
195930000000,-3.3306182605,-7.16746561242,-1.2077713891
196150000000,-3.30296771866,-7.23991039819,-1.20618433506
196400000000,-3.27369133067,-7.31436100669,-1.19613770804
196650000000,-3.24317694863,-7.38831283215,-1.17945381273
196910000000,-3.21706153585,-7.46393019269,-1.23825872669
197150000000,-3.19349850165,-7.54038137594,-1.2718243658
197400000000,-3.16982247135,-7.61679764115,-1.27034601204
197650000000,-3.14199609265,-7.69180225866,-1.21554102816
197910000000,-3.11246647565,-7.76615279141,-1.19273412172
198160000000,-3.08669291726,-7.84188735213,-1.2427760635
198410000000,-3.0641297017,-7.91863955929,-1.28487635434
198650000000,-3.04241232649,-7.99563537485,-1.29587918609
198900000000,-3.0210756829,-8.07273756445,-1.3008205979
199150000000,-2.99737983464,-8.14914768665,-1.2700866594
