%time,field.x,field.y,field.z
18320000000,0.0,0.0,3.14145729846
19800000000,-9.74667886628e-05,-2.49036474276e-07,3.14145668056
20020000000,-0.000111996258106,-2.86144495085e-07,3.14145658916
20280000000,-0.0485249293691,-4.42469909429e-06,3.14153264496
20520000000,-0.100792397998,0.000523377148866,3.1413507294
20780000000,-0.162927753084,0.000916567850646,3.13939390653
21030000000,-0.226127384756,0.00085207046404,3.13814268479
21250000000,-0.287435011167,0.000490764728155,3.1390856926
21460000000,-0.339793612287,0.000158836181809,-3.1410329828
21700000000,-0.38680672554,-0.000146239736062,-3.14093607417
21920000000,-0.451506369218,-0.000322044856323,-3.1397950741
22170000000,-0.531985980427,-0.000366927455634,-3.13986051628
22420000000,-0.61500329826,-0.000351642777101,-3.14023036484
22640000000,-0.684953551353,-0.000596808674124,-3.14079495608
22880000000,-0.781981384474,-0.00128947263547,-3.14145267398
23130000000,-0.873427261966,-0.0024163125906,-3.14049634406
23370000000,-0.946213746844,-0.00218656783802,-3.14046830439
23620000000,-1.02820365519,-0.00193819722236,-3.13954804856
23860000000,-1.11121511079,-0.00209930613823,-3.14049924323
24120000000,-1.20141500654,-0.00230481563002,-3.14102769749
24370000000,-1.29857545421,-0.00236083103822,3.14139982139
24570000000,-1.37674722597,-0.00269102140002,-3.13966420499
24820000000,-1.45454208094,-0.00274389649559,-3.14114945351
25070000000,-1.53611735622,-0.00327869736147,-3.13879266497
25320000000,-1.62257406218,-0.00352634159276,-3.13872648497
25570000000,-1.70969198442,-0.00401667853717,-3.13823682311
25820000000,-1.80596116709,-0.00419416316184,-3.13780462563
26070000000,-1.90382392424,-0.00436013450411,-3.13724225817
26320000000,-1.98359022102,-0.00430943872028,-3.1403142077
26570000000,-2.06817064855,-0.00450342893852,-3.13853079751
26820000000,-2.15633694584,-0.00472014582844,-3.13864978535
27070000000,-2.24611587458,-0.00512617581442,-3.13904245379
27320000000,-2.34738818387,-0.0052931260311,-3.14079014144
27570000000,-2.44463390912,-0.00506940534234,-3.14075234016
27770000000,-2.50527351486,-0.00468441309672,-3.13908259749
28020000000,-2.58773975275,-0.00443455864601,-3.13830634279
28270000000,-2.67554285045,-0.00449213185102,-3.13833609823
28520000000,-2.76747602788,-0.0045035866309,-3.13995005185
28770000000,-2.86766626633,-0.00421588084471,-3.14026017569
29020000000,-2.96561549859,-0.0038740164188,-3.1390459038
29260000000,-3.03879297215,-0.00375716365111,-3.13939769582
29510000000,-3.12245019862,-0.00339143170287,-3.13953838818
29750000000,-3.20722922216,-0.00355092203911,-3.14012161509
30000000000,-3.30052149264,-0.00344090293196,-3.14030816468
30230000000,-3.39396272549,-0.00329997423882,-3.14089672226
30440000000,-3.48082600422,-0.00362936597647,-3.14118154866
30650000000,-3.55084143014,-0.00518284827982,-3.13113786717
30890000000,-3.58109678655,0.0325048038952,-2.92911754428
31140000000,-3.69860239314,-0.0333731714151,-2.78350951229
31380000000,-3.77041222269,-0.0516808215931,-2.55977039096
31590000000,-3.8141842944,0.0304231564015,-2.19128442785
31840000000,-3.86921109038,-0.0830547524355,-2.03569258181
32090000000,-3.91658813561,-0.192190832881,-1.95632496305
32310000000,-3.95689115224,-0.285019016682,-1.91199770748
32540000000,-4.00298275738,-0.412288253632,-1.91782728049
32770000000,-4.0391413942,-0.513355290955,-1.91970377302
32970000000,-4.06456112994,-0.587885353891,-1.92017355512
33180000000,-4.09063294655,-0.6596087419,-1.9188374876
33390000000,-4.12007245813,-0.730417411751,-1.94396274467
33620000000,-4.1588886867,-0.801687810997,-1.9988728248
33840000000,-4.20991218365,-0.867953089209,-2.06184849401
34070000000,-4.23800719201,-0.938415467994,-2.00170200605
34320000000,-4.28075385821,-1.02930171161,-1.99171606575
34570000000,-4.32089503024,-1.12015827521,-1.99391038571
34770000000,-4.35347405368,-1.1925630396,-1.99397141349
35020000000,-4.36382690575,-1.24145183275,-2.011643656
35270000000,-4.37241788045,-1.27151809089,-1.99306373087
35520000000,-4.3819632001,-1.29699432212,-1.97474904482
35770000000,-4.39276698674,-1.34801315097,-1.92972504274
36020000000,-4.37649496822,-1.48868651286,-1.75437186748
36270000000,-4.39539065133,-1.58403028789,-1.75357282068
36490000000,-4.41047088362,-1.66930037088,-1.75218809873
36730000000,-4.42860783788,-1.76439462925,-1.75559373354
36980000000,-4.43609817655,-1.84305147293,-1.7508979179
37240000000,-4.43923946401,-1.9205909514,-1.74655305145
37490000000,-4.43665647352,-1.98510660802,-1.751667628
37740000000,-4.43196107595,-2.00845177816,-1.77748370694
37950000000,-4.43553658746,-2.02933447091,-1.77533872104
38160000000,-4.44077359151,-2.06393786457,-1.76335743413
38390000000,-4.44861347996,-2.09885116396,-1.75696414663
38640000000,-4.44235800743,-2.12591884308,-1.70602689551
38890000000,-4.39345025879,-2.25553065742,-1.50258430406
39140000000,-4.38809752869,-2.34946241484,-1.50935269308
39400000000,-4.38195683536,-2.44924975217,-1.51019622132
39650000000,-4.374767934,-2.55706179188,-1.51018009541
39900000000,-4.36854893901,-2.65315030554,-1.50648075481
40150000000,-4.36154135594,-2.74752301983,-1.50810891698
40400000000,-4.35599694144,-2.84613537757,-1.50783463299
40650000000,-4.34977351559,-2.94608221364,-1.50754397475
40900000000,-4.34358119019,-3.04612782723,-1.50850627653
41150000000,-4.33018469089,-3.09530416159,-1.53153681348
41400000000,-4.33064095893,-3.09870851438,-1.5488852416
41650000000,-4.32803730165,-3.10602423001,-1.57102291159
41910000000,-4.32876585659,-3.10603933757,-1.57058313604
42150000000,-4.32950878632,-3.10615658177,-1.57140598097
